each word,porter of each word,lancaster of each word,each len of word after porter,each len of word after lancaster,porter_data_without_stop_words,lancaster_data_without_stop_words
clientèle,clientèl,clientèl,8,8,clientèl,clientèl
Ses,se,ses,2,3,se,ses
applications,applic,apply,6,5,applic,apply
les,le,les,2,3,le,les
plus,plu,plu,3,3,plu,plu
rudimentaires,rudimentair,rudimentair,11,11,rudimentair,rudimentair
sont,sont,sont,4,4,sont,sont
la,la,la,2,2,la,la
lutte,lutt,lut,4,3,lutt,lut
contre,contr,cont,5,4,contr,cont
le,le,le,2,2,le,le
spam,spam,spam,4,4,spam,spam
ou,ou,ou,2,2,ou,ou
pourriel,pourriel,pourriel,8,8,pourriel,pourriel
ainsi,ainsi,ains,5,4,ainsi,ains
que,que,que,3,3,que,que
l^analyse,l^analys,l^analyse,8,9,l^analys,l^analyse
de,de,de,2,2,de,de
contenu,contenu,contenu,7,7,contenu,contenu
De,de,de,2,2,de,de
plus,plu,plu,3,3,plu,plu
ambitieuses,ambitieus,ambitieus,9,9,ambitieus,ambitieus
concernent,concern,concern,7,7,concern,concern
l^évaluation,l^évaluat,l^évaluation,9,12,l^évaluat,l^évaluation
par,par,par,3,3,par,par
analyse,analys,analys,6,6,analys,analys
de,de,de,2,2,de,de
dépêches,dépêche,dépêches,7,8,dépêche,dépêches
de,de,de,2,2,de,de
presse,press,press,5,5,press,press
de,de,de,2,2,de,de
l^image,l^imag,l^image,6,7,l^imag,l^image
d^une,d^une,d^une,5,5,d^une,d^une
société,société,société,7,7,société,société
d^un,d^un,d^un,4,4,d^un,d^un
climat,climat,clim,6,4,climat,clim
politique,politiqu,polit,8,5,politiqu,polit
ou,ou,ou,2,2,ou,ou
boursier,boursier,boursy,8,6,boursier,boursy
ou,ou,ou,2,2,ou,ou
la,la,la,2,2,la,la
catégorisation,catégoris,catég,9,5,catégoris,catég
automatique,automatiqu,automat,10,7,automatiqu,automat
d^informations,d^inform,d^informations,8,14,d^inform,d^informations
Le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
est,est,est,3,3,est,est
un,un,un,2,2,un,un
processus,processu,process,8,7,processu,process
d^analyse,d^analys,d^analyse,8,9,d^analys,d^analyse
dont,dont,dont,4,4,dont,dont
l^approche,l^approch,l^approche,9,10,l^approch,l^approche
est,est,est,3,3,est,est
différente,différent,différ,9,6,différent,différ
de,de,de,2,2,de,de
celle,cell,cel,4,3,cell,cel
utilisée,utilisé,utilisé,7,7,utilisé,utilisé
en,en,en,2,2,en,en
statistique,statistiqu,statist,10,7,statistiqu,statist
Cette,cett,cet,4,3,cett,cet
dernière,dernièr,dernièr,7,7,dernièr,dernièr
présuppose,présuppos,présuppose,9,10,présuppos,présuppose
en,en,en,2,2,en,en
général,général,général,7,7,général,général
que,que,que,3,3,que,que
l^on,l^on,l^on,4,4,l^on,l^on
se,se,se,2,2,se,se
fixe,fix,fix,3,3,fix,fix
une,une,un,3,2,une,un
hypothèse,hypothès,hypothès,8,8,hypothès,hypothès
que,que,que,3,3,que,que
les,le,les,2,3,le,les
données,donné,donné,5,5,donné,donné
vont,vont,vont,4,4,vont,vont
nous,nou,nou,3,3,nou,nou
permettre,permettr,permet,8,6,permettr,permet
ou,ou,ou,2,2,ou,ou
non,non,non,3,3,non,non
de,de,de,2,2,de,de
confirmer,confirm,confirm,7,7,confirm,confirm
Au,au,au,2,2,au,au
contraire,contrair,contrair,8,8,contrair,contrair
le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
adopte,adopt,adopt,5,5,adopt,adopt
une,une,un,3,2,une,un
démarche,démarch,démarche,7,8,démarch,démarche
beaucoup,beaucoup,beaucoup,8,8,beaucoup,beaucoup
plus,plu,plu,3,3,plu,plu
empirique,empiriqu,empir,8,5,empiriqu,empir
et,et,et,2,2,et,et
essaye,essay,essay,5,5,essay,essay
ainsi,ainsi,ains,5,4,ainsi,ains
de,de,de,2,2,de,de
faire,fair,fair,4,4,fair,fair
émerger,émerger,émerg,7,5,émerger,émerg
à,à,à,1,1,à,à
partir,partir,partir,6,6,partir,partir
des,de,des,2,3,de,des
données,donné,donné,5,5,donné,donné
brutes,brute,brut,5,4,brute,brut
des,de,des,2,3,de,des
hypothèses,hypothès,hypothès,8,8,hypothès,hypothès
que,que,que,3,3,que,que
l^expérimentateur,l^expérimentateur,l^expérimentateur,17,17,l^expérimentateur,l^expérimentateur
peut,peut,peut,4,4,peut,peut
ne,ne,ne,2,2,ne,ne
pas,pa,pas,2,3,pa,pas
soupçonner,soupçonn,soupçon,8,7,soupçonn,soupçon
et,et,et,2,2,et,et
dont,dont,dont,4,4,dont,dont
il,il,il,2,2,il,il
aura,aura,aur,4,3,aura,aur
à,à,à,1,1,à,à
valider,valid,valid,5,5,valid,valid
la,la,la,2,2,la,la
pertinence,pertin,pertin,6,6,pertin,pertin
Le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
tente,tent,tent,4,4,tent,tent
alors,alor,al,4,2,alor,al
de,de,de,2,2,de,de
réaliser,réalis,réal,6,4,réalis,réal
un,un,un,2,2,un,un
arbitrage,arbitrag,arbit,8,5,arbitrag,arbit
entre,entr,ent,4,3,entr,ent
validité,validité,validité,8,8,validité,validité
scientifique,scientifiqu,scientif,11,8,scientifiqu,scientif
interprétabilité,interprétabilité,interprétabilité,16,16,interprétabilité,interprétabilité
des,de,des,2,3,de,des
résultats,résultat,résultats,8,9,résultat,résultats
et,et,et,2,2,et,et
facilité,facilité,facilité,8,8,facilité,facilité
d^utilisation,d^utilis,d^utilisation,8,13,d^utilis,d^utilisation
dans,dan,dan,3,3,dan,dan
un,un,un,2,2,un,un
environnement,environn,environ,8,7,environn,environ
professionnel,professionnel,professionnel,13,13,professionnel,professionnel
où,où,où,2,2,où,où
le,le,le,2,2,le,le
temps,temp,temp,4,4,temp,temp
d^étude,d^étude,d^étude,7,7,d^étude,d^étude
joue,joue,jou,4,3,joue,jou
un,un,un,2,2,un,un
rôle,rôle,rôle,4,4,rôle,rôle
majeur,majeur,maj,6,3,majeur,maj
et,et,et,2,2,et,et
où,où,où,2,2,où,où
les,le,les,2,3,le,les
analystes,analyst,analyst,7,7,analyst,analyst
ne,ne,ne,2,2,ne,ne
sont,sont,sont,4,4,sont,sont
pas,pa,pas,2,3,pa,pas
toujours,toujour,toujo,7,5,toujour,toujo
des,de,des,2,3,de,des
statisticiens,statisticien,statisticy,12,10,statisticien,statisticy
Plus,plu,plu,3,3,plu,plu
qu^une,qu^un,qu^une,5,6,qu^un,qu^une
théorie,théori,théorie,6,7,théori,théorie
normalisée,normalisé,normalisé,9,9,normalisé,normalisé
le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
est,est,est,3,3,est,est
un,un,un,2,2,un,un
processus,processu,process,8,7,processu,process
d^extraction,d^extract,d^extraction,9,12,d^extract,d^extraction
de,de,de,2,2,de,de
connaissances,connaiss,connaiss,8,8,connaiss,connaiss
métiers,métier,métiers,6,7,métier,métiers
comportant,comport,comport,7,7,comport,comport
les,le,les,2,3,le,les
étapes,étape,étap,5,4,étape,étap
principales,principal,princip,9,7,principal,princip
suivantes,suivant,suiv,7,4,suivant,suiv
:,:,:,1,1,:,:
Formaliser,formalis,form,8,4,formalis,form
un,un,un,2,2,un,un
problème,problèm,problèm,7,7,problèm,problèm
que,que,que,3,3,que,que
l^organisation,l^organis,l^organisation,9,14,l^organis,l^organisation
cherche,cherch,cherch,6,6,cherch,cherch
à,à,à,1,1,à,à
résoudre,résoudr,résoudre,7,8,résoudr,résoudre
en,en,en,2,2,en,en
terme,term,term,4,4,term,term
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
Accéder,accéder,accéd,7,5,accéder,accéd
aux,aux,aux,3,3,aux,aux
données,donné,donné,5,5,donné,donné
idoines,idoin,idoin,5,5,idoin,idoin
quelles,quell,quel,5,4,quell,quel
qu^elles,qu^el,qu^elles,5,8,qu^el,qu^elles
soient,soient,soi,6,3,soient,soi
Préparer,préparer,préparer,8,8,préparer,préparer
les,le,les,2,3,le,les
données,donné,donné,5,5,donné,donné
en,en,en,2,2,en,en
vue,vue,vue,3,3,vue,vue
des,de,des,2,3,de,des
traitements,traitement,trait,10,5,traitement,trait
et,et,et,2,2,et,et
utilisations,utilis,util,6,4,utilis,util
futurs,futur,fut,5,3,futur,fut
Modéliser,modélis,modél,7,5,modélis,modél
les,le,les,2,3,le,les
données,donné,donné,5,5,donné,donné
en,en,en,2,2,en,en
leur,leur,leur,4,4,leur,leur
appliquant,appliqu,appl,7,4,appliqu,appl
des,de,des,2,3,de,des
algorithmes,algorithm,algorithm,9,9,algorithm,algorithm
d^analyse,d^analys,d^analyse,8,9,d^analys,d^analyse
Evaluer,evalu,evalu,5,5,evalu,evalu
et,et,et,2,2,et,et
valider,valid,valid,5,5,valid,valid
les,le,les,2,3,le,les
connaissances,connaiss,connaiss,8,8,connaiss,connaiss
ainsi,ainsi,ains,5,4,ainsi,ains
extraites,extrait,extrait,7,7,extrait,extrait
des,de,des,2,3,de,des
analyses,analys,analys,6,6,analys,analys
Déployer,déployer,déployer,8,8,déployer,déployer
les,le,les,2,3,le,les
analyses,analys,analys,6,6,analys,analys
dans,dan,dan,3,3,dan,dan
l^entreprise,l^entrepris,l^entreprise,11,12,l^entrepris,l^entreprise
pour,pour,pour,4,4,pour,pour
une,une,un,3,2,une,un
utilisation,utilis,util,6,4,utilis,util
effective,effect,effect,6,6,effect,effect
Bien,bien,bien,4,4,bien,bien
sûr,sûr,sûr,3,3,sûr,sûr
ce,ce,ce,2,2,ce,ce
processus,processu,process,8,7,processu,process
n^est,n^est,n^est,5,5,n^est,n^est
pas,pa,pas,2,3,pa,pas
linéaire,linéair,linéair,7,7,linéair,linéair
il,il,il,2,2,il,il
se,se,se,2,2,se,se
veut,veut,veut,4,4,veut,veut
cyclique,cycliqu,cycl,7,4,cycliqu,cycl
le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
participant,particip,particip,8,8,particip,particip
dès,dè,dès,2,3,dè,dès
lors,lor,lor,3,3,lor,lor
à,à,à,1,1,à,à
une,une,un,3,2,une,un
meilleure,meilleur,meil,8,4,meilleur,meil
compréhension,compréhens,compréhend,10,10,compréhens,compréhend
de,de,de,2,2,de,de
l^activité,l^activité,l^activité,10,10,l^activité,l^activité
de,de,de,2,2,de,de
l^organisation,l^organis,l^organisation,9,14,l^organis,l^organisation
et,et,et,2,2,et,et
à,à,à,1,1,à,à
une,une,un,3,2,une,un
rationalisation,rationalis,rat,10,3,rationalis,rat
avancée,avancé,avancé,6,6,avancé,avancé
du,du,du,2,2,du,du
stockage,stockag,stock,7,5,stockag,stock
de,de,de,2,2,de,de
l^information,l^inform,l^information,8,13,l^inform,l^information
et,et,et,2,2,et,et
des,de,des,2,3,de,des
données,donné,donné,5,5,donné,donné
Autrement,autrement,aut,9,3,autrement,aut
dit,dit,dit,3,3,dit,dit
le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
ne,ne,ne,2,2,ne,ne
consiste,consist,consist,7,7,consist,consist
pas,pa,pas,2,3,pa,pas
en,en,en,2,2,en,en
une,une,un,3,2,une,un
succession,success,success,7,7,success,success
d^études,d^étude,d^études,7,8,d^étude,d^études
ad,ad,ad,2,2,ad,ad
hoc,hoc,hoc,3,3,hoc,hoc
mais,mai,mai,3,3,mai,mai
doit,doit,doit,4,4,doit,doit
bien,bien,bien,4,4,bien,bien
permettre,permettr,permet,8,6,permettr,permet
de,de,de,2,2,de,de
capitaliser,capitalis,capit,9,5,capitalis,capit
des,de,des,2,3,de,des
connaissances,connaiss,connaiss,8,8,connaiss,connaiss
acquises,acquis,acqu,6,4,acquis,acqu
sous,sou,sou,3,3,sou,sou
forme,form,form,4,4,form,form
de,de,de,2,2,de,de
connaissance,connaiss,connaiss,8,8,connaiss,connaiss
explicites,explicit,explicit,8,8,explicit,explicit
donc,donc,dont,4,4,donc,dont
de,de,de,2,2,de,de
structurer,structur,structurer,8,10,structur,structurer
les,le,les,2,3,le,les
contenus,contenu,conten,7,6,contenu,conten
nécessaires,nécessair,nécessaires,9,11,nécessair,nécessaires
à,à,à,1,1,à,à
l^ingénierie,l^ingénieri,l^ingénierie,11,12,l^ingénieri,l^ingénierie
des,de,des,2,3,de,des
connaissances,connaiss,connaiss,8,8,connaiss,connaiss
,,,0,0,,
C^est,c^est,c^est,5,5,c^est,c^est
sa,sa,sa,2,2,sa,sa
raison,raison,raison,6,6,raison,raison
d^être,d^être,d^être,6,6,d^être,d^être
Le,le,le,2,2,le,le
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
se,se,se,2,2,se,se
propose,propos,propos,6,6,propos,propos
alors,alor,al,4,2,alor,al
d^utiliser,d^utilis,d^utiliser,8,10,d^utilis,d^utiliser
un,un,un,2,2,un,un
ensemble,ensembl,ensembl,7,7,ensembl,ensembl
d^algorithmes,d^algorithm,d^algorithmes,11,13,d^algorithm,d^algorithmes
voir,voir,voir,4,4,voir,voir
infra,infra,infr,5,4,infra,infr
issus,issu,iss,4,3,issu,iss
de,de,de,2,2,de,de
disciplines,disciplin,disciplin,9,9,disciplin,disciplin
scientifiques,scientifiqu,scientif,11,8,scientifiqu,scientif
diverses,divers,divers,6,6,divers,divers
statistiques,statistiqu,statist,10,7,statistiqu,statist
intelligence,intellig,intellig,8,8,intellig,intellig
artificielle,artificiel,artificiel,10,10,artificiel,artificiel
base,base,bas,4,3,base,bas
de,de,de,2,2,de,de
données,donné,donné,5,5,donné,donné
pour,pour,pour,4,4,pour,pour
construire,construir,construir,9,9,construir,construir
des,de,des,2,3,de,des
modèles,modèl,modèl,5,5,modèl,modèl
à,à,à,1,1,à,à
partir,partir,partir,6,6,partir,partir
des,de,des,2,3,de,des
données,donné,donné,5,5,donné,donné
c^est-à-dire,c^est-à-dir,c^est-à-dire,11,12,c^est-à-dir,c^est-à-dire
trouver,trouver,trouv,7,5,trouver,trouv
des,de,des,2,3,de,des
schémas,schéma,schémas,6,7,schéma,schémas
«,«,«,1,1,«,«
intéressants,intéress,intéress,8,8,intéress,intéress
»,»,»,1,1,»,»
des,de,des,2,3,de,des
patterns,pattern,pattern,7,7,pattern,pattern
ou,ou,ou,2,2,ou,ou
motifs,motif,mot,5,3,motif,mot
de,de,de,2,2,de,de
conception,concept,conceiv,7,7,concept,conceiv
en,en,en,2,2,en,en
français,françai,frança,7,6,françai,frança
selon,selon,selon,5,5,selon,selon
des,de,des,2,3,de,des
critères,critèr,critèr,6,6,critèr,critèr
fixés,fixé,fixé,4,4,fixé,fixé
au,au,au,2,2,au,au
départ,départ,départ,6,6,départ,départ
et,et,et,2,2,et,et
extraire,extrair,extrair,7,7,extrair,extrair
de,de,de,2,2,de,de
ces,ce,ces,2,3,ce,ces
données,donné,donné,5,5,donné,donné
un,un,un,2,2,un,un
maximum,maximum,maxim,7,5,maximum,maxim
de,de,de,2,2,de,de
connaissances,connaiss,connaiss,8,8,connaiss,connaiss
utiles,util,util,4,4,util,util
à,à,à,1,1,à,à
l^entreprise,l^entrepris,l^entreprise,11,12,l^entrepris,l^entreprise
Voir,voir,voir,4,4,voir,voir
par,par,par,3,3,par,par
exemple,exempl,exempl,6,6,exempl,exempl
les,le,les,2,3,le,les
articles,articl,artic,6,5,articl,artic
Motif,motif,mot,5,3,motif,mot
de,de,de,2,2,de,de
conception,concept,conceiv,7,7,concept,conceiv
algorithmes,algorithm,algorithm,9,9,algorithm,algorithm
génétiques,génétiqu,génétiques,8,10,génétiqu,génétiques
Arbre,arbr,arbr,4,4,arbr,arbr
de,de,de,2,2,de,de
décision,décision,décision,8,8,décision,décision
Bajo,bajo,bajo,4,4,bajo,bajo
el,el,el,2,2,el,el
nombre,nombr,nombr,5,5,nombr,nombr
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
se,se,se,2,2,se,se
engloban,engloban,englob,8,6,engloban,englob
un,un,un,2,2,un,un
conjunto,conjunto,conjunto,8,8,conjunto,conjunto
de,de,de,2,2,de,de
técnicas,técnica,técnicas,7,8,técnica,técnicas
encaminadas,encaminada,encaminada,10,10,encaminada,encaminada
a,a,a,1,1,-,-
la,la,la,2,2,la,la
extracción,extracción,extracción,10,10,extracción,extracción
de,de,de,2,2,de,de
conocimiento,conocimiento,conocimiento,12,12,conocimiento,conocimiento
procesable,proces,proces,6,6,proces,proces
implícito,implícito,implícito,9,9,implícito,implícito
en,en,en,2,2,en,en
las,la,las,2,3,la,las
bases,base,bas,4,3,base,bas
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
de,de,de,2,2,de,de
las,la,las,2,3,la,las
empresas,empresa,empresa,7,7,empresa,empresa
Las,la,las,2,3,la,las
bases,base,bas,4,3,base,bas
de,de,de,2,2,de,de
la,la,la,2,2,la,la
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
se,se,se,2,2,se,se
encuentran,encuentran,encu,10,4,encuentran,encu
en,en,en,2,2,en,en
la,la,la,2,2,la,la
inteligencia,inteligencia,inteligenc,12,10,inteligencia,inteligenc
artificial,artifici,art,8,3,artifici,art
y,y,y,1,1,-,-
en,en,en,2,2,en,en
el,el,el,2,2,el,el
análisis,análisi,anális,7,6,análisi,anális
estadístico,estadístico,estadístico,11,11,estadístico,estadístico
Mediante,mediant,medy,7,4,mediant,medy
los,lo,los,2,3,lo,los
modelos,modelo,modelo,6,6,modelo,modelo
extraídos,extraído,extraído,8,8,extraído,extraído
utilizando,utilizando,utilizando,10,10,utilizando,utilizando
técnicas,técnica,técnicas,7,8,técnica,técnicas
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
se,se,se,2,2,se,se
aborda,aborda,abord,6,5,aborda,abord
la,la,la,2,2,la,la
solución,solución,solución,8,8,solución,solución
a,a,a,1,1,-,-
problemas,problema,problema,8,8,problema,problema
de,de,de,2,2,de,de
predicción,predicción,predicción,10,10,predicción,predicción
clasificación,clasificación,clasificación,13,13,clasificación,clasificación
y,y,y,1,1,-,-
segmentación,segmentación,segmentación,12,12,segmentación,segmentación
Un,un,un,2,2,un,un
proceso,proceso,proceso,7,7,proceso,proceso
típico,típico,típico,6,6,típico,típico
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
parte,part,part,4,4,part,part
de,de,de,2,2,de,de
la,la,la,2,2,la,la
selección,selección,selección,9,9,selección,selección
del,del,del,3,3,del,del
conjunto,conjunto,conjunto,8,8,conjunto,conjunto
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
tanto,tanto,tanto,5,5,tanto,tanto
en,en,en,2,2,en,en
lo,lo,lo,2,2,lo,lo
que,que,que,3,3,que,que
se,se,se,2,2,se,se
refiere,refier,refy,6,4,refier,refy
a,a,a,1,1,-,-
las,la,las,2,3,la,las
variables,variabl,vary,7,4,variabl,vary
dependientes,dependient,dependy,10,7,dependient,dependy
como,como,como,4,4,como,como
a,a,a,1,1,-,-
las,la,las,2,3,la,las
variables,variabl,vary,7,4,variabl,vary
objetivo,objetivo,objetivo,8,8,objetivo,objetivo
como,como,como,4,4,como,como
posiblemente,posiblement,pos,11,3,posiblement,pos
al,al,al,2,2,al,al
muestreo,muestreo,muestreo,8,8,muestreo,muestreo
de,de,de,2,2,de,de
los,lo,los,2,3,lo,los
registros,registro,registro,8,8,registro,registro
disponibles,dispon,dispon,6,6,dispon,dispon
A,a,a,1,1,-,-
continuación,continuación,continuación,12,12,continuación,continuación
se,se,se,2,2,se,se
analiza,analiza,analiz,7,6,analiza,analiz
las,la,las,2,3,la,las
propiedades,propiedad,propiedad,9,9,propiedad,propiedad
de,de,de,2,2,de,de
los,lo,los,2,3,lo,los
datos,dato,dato,4,4,dato,dato
en,en,en,2,2,en,en
especial,especi,espec,6,5,especi,espec
los,lo,los,2,3,lo,los
histogramas,histograma,histograma,10,10,histograma,histograma
diagramas,diagrama,diagrama,8,8,diagrama,diagrama
de,de,de,2,2,de,de
dispersión,dispersión,dispersión,10,10,dispersión,dispersión
presencia,presencia,presenc,9,7,presencia,presenc
de,de,de,2,2,de,de
valores,valor,val,5,3,valor,val
atípicos,atípico,atípico,7,7,atípico,atípico
y,y,y,1,1,-,-
ausencia,ausencia,ausenc,8,6,ausencia,ausenc
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
Como,como,como,4,4,como,como
consecuencia,consecuencia,consecuenc,12,10,consecuencia,consecuenc
de,de,de,2,2,de,de
este,est,est,3,3,est,est
análisis,análisi,anális,7,6,análisi,anális
al,al,al,2,2,al,al
conjunto,conjunto,conjunto,8,8,conjunto,conjunto
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
de,de,de,2,2,de,de
entrada,entrada,entrad,7,6,entrada,entrad
se,se,se,2,2,se,se
le,le,le,2,2,le,le
aplican,aplican,apl,7,3,aplican,apl
una,una,un,3,2,una,un
serie,seri,sery,4,4,seri,sery
de,de,de,2,2,de,de
transformaciones,transformacion,transformac,14,11,transformacion,transformac
con,con,con,3,3,con,con
el,el,el,2,2,el,el
objetivo,objetivo,objetivo,8,8,objetivo,objetivo
de,de,de,2,2,de,de
prepararlo,prepararlo,prepararlo,10,10,prepararlo,prepararlo
para,para,par,4,3,para,par
aplicar,aplicar,aplic,7,5,aplicar,aplic
la,la,la,2,2,la,la
técnica,técnica,técnica,7,7,técnica,técnica
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
que,que,que,3,3,que,que
mejor,mejor,mej,5,3,mejor,mej
se,se,se,2,2,se,se
adapte,adapt,adapt,5,5,adapt,adapt
a,a,a,1,1,-,-
los,lo,los,2,3,lo,los
datos,dato,dato,4,4,dato,dato
y,y,y,1,1,-,-
al,al,al,2,2,al,al
problema,problema,problem,8,7,problema,problem
Finalmente,finalment,fin,9,3,finalment,fin
se,se,se,2,2,se,se
selecciona,selecciona,seleccion,10,9,selecciona,seleccion
la,la,la,2,2,la,la
técnica,técnica,técnica,7,7,técnica,técnica
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
se,se,se,2,2,se,se
construye,construy,construy,8,8,construy,construy
el,el,el,2,2,el,el
modelo,modelo,modelo,6,6,modelo,modelo
predictivo,predictivo,predictivo,10,10,predictivo,predictivo
de,de,de,2,2,de,de
clasificación,clasificación,clasificación,13,13,clasificación,clasificación
o,o,o,1,1,-,-
segmentación,segmentación,segmentación,12,12,segmentación,segmentación
y,y,y,1,1,-,-
se,se,se,2,2,se,se
evalúan,evalúan,evalú,7,5,evalúan,evalú
los,lo,los,2,3,lo,los
resultados,resultado,resultado,9,9,resultado,resultado
contrastando,contrastando,contrastando,12,12,contrastando,contrastando
con,con,con,3,3,con,con
un,un,un,2,2,un,un
conjunto,conjunto,conjunto,8,8,conjunto,conjunto
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
previamente,previament,previa,10,6,previament,previa
reservado,reservado,reservado,9,9,reservado,reservado
para,para,par,4,3,para,par
validar,validar,valid,7,5,validar,valid
la,la,la,2,2,la,la
generalidad,generalidad,generalidad,11,11,generalidad,generalidad
del,del,del,3,3,del,del
modelo,modelo,modelo,6,6,modelo,modelo
Por,por,por,3,3,por,por
último,último,último,6,6,último,último
los,lo,los,2,3,lo,los
modelos,modelo,modelo,6,6,modelo,modelo
obtenidos,obtenido,obtenido,8,8,obtenido,obtenido
por,por,por,3,3,por,por
técnicas,técnica,técnicas,7,8,técnica,técnicas
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
se,se,se,2,2,se,se
aplican,aplican,apl,7,3,aplican,apl
incorporándolos,incorporándolo,incorporándolo,14,14,incorporándolo,incorporándolo
en,en,en,2,2,en,en
los,lo,los,2,3,lo,los
sistemas,sistema,sistema,7,7,sistema,sistema
de,de,de,2,2,de,de
análisis,análisi,anális,7,6,análisi,anális
de,de,de,2,2,de,de
información,información,información,11,11,información,información
de,de,de,2,2,de,de
las,la,las,2,3,la,las
empresas,empresa,empresa,7,7,empresa,empresa
e,e,e,1,1,e,e
incluso,incluso,incluso,7,7,incluso,incluso
en,en,en,2,2,en,en
los,lo,los,2,3,lo,los
sistemas,sistema,sistema,7,7,sistema,sistema
transaccionales,transaccional,transacc,13,8,transaccional,transacc
En,en,en,2,2,en,en
este,est,est,3,3,est,est
sentido,sentido,sentido,7,7,sentido,sentido
cabe,cabe,cab,4,3,cabe,cab
destacar,destacar,destac,8,6,destacar,destac
los,lo,los,2,3,lo,los
esfuerzos,esfuerzo,esfuerzo,8,8,esfuerzo,esfuerzo
del,del,del,3,3,del,del
Data,data,dat,4,3,data,dat
Mining,mine,min,4,3,mine,min
Group,group,group,5,5,group,group
que,que,que,3,3,que,que
está,está,está,4,4,está,está
estandarizando,estandarizando,estandarizando,14,14,estandarizando,estandarizando
el,el,el,2,2,el,el
lenguaje,lenguaj,lenguas,7,7,lenguaj,lenguas
PMML,pmml,pmml,4,4,pmml,pmml
Predictive,predict,predict,7,7,predict,predict
Modelling,model,model,5,5,model,model
Markup,markup,markup,6,6,markup,markup
Language,languag,langu,7,5,languag,langu
de,de,de,2,2,de,de
manera,manera,maner,6,5,manera,maner
que,que,que,3,3,que,que
los,lo,los,2,3,lo,los
modelos,modelo,modelo,6,6,modelo,modelo
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
sean,sean,sean,4,4,sean,sean
interoperables,interoper,interop,9,7,interoper,interop
en,en,en,2,2,en,en
distintas,distinta,distinta,8,8,distinta,distinta
plataformas,plataforma,plataforma,10,10,plataforma,plataforma
con,con,con,3,3,con,con
independencia,independencia,independenc,13,11,independencia,independenc
del,del,del,3,3,del,del
sistema,sistema,sistem,7,6,sistema,sistem
con,con,con,3,3,con,con
el,el,el,2,2,el,el
que,que,que,3,3,que,que
han,han,han,3,3,han,han
sido,sido,sido,4,4,sido,sido
construidos,construido,construido,10,10,construido,construido
Los,lo,los,2,3,lo,los
principales,principal,princip,9,7,principal,princip
fabricantes,fabricant,fabr,9,4,fabricant,fabr
de,de,de,2,2,de,de
sistemas,sistema,sistema,7,7,sistema,sistema
de,de,de,2,2,de,de
bases,base,bas,4,3,base,bas
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
y,y,y,1,1,-,-
programas,programa,programa,8,8,programa,programa
de,de,de,2,2,de,de
análisis,análisi,anális,7,6,análisi,anális
de,de,de,2,2,de,de
la,la,la,2,2,la,la
información,información,información,11,11,información,información
hacen,hacen,hac,5,3,hacen,hac
uso,uso,uso,3,3,uso,uso
de,de,de,2,2,de,de
este,est,est,3,3,est,est
estándar,estándar,estánd,8,6,estándar,estánd
Tradicionalmente,tradicionalment,trad,15,4,tradicionalment,trad
las,la,las,2,3,la,las
técnicas,técnica,técnicas,7,8,técnica,técnicas
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
se,se,se,2,2,se,se
aplicaban,aplicaban,aplicab,9,7,aplicaban,aplicab
sobre,sobr,sobr,4,4,sobr,sobr
información,información,información,11,11,información,información
contenida,contenida,contenid,9,8,contenida,contenid
en,en,en,2,2,en,en
almacenes,almacen,almac,7,5,almacen,almac
